year,bandsFormed
1964,1
1965,1
1966,0
1969,5
1970,1
1973,4
1975,5
1976,17
1979,26
1980,25
1982,39
1985,57
1987,51
1989,100
1991,71
1993,153
1994,130
1996,155
1999,180
2001,189
2003,217
2005,270
2007,265
2010,202
2012,136
2013,118
2015,36
